Real-time,Station1, Station2
1/5/2018 10:00,-0.865,0.034
1/5/2018 11:00,-0.858,0.031
1/5/2018 12:00,-0.855,
1/5/2018 13:00,-0.86,0.909
1/5/2018 14:00,-0.858,0.901
1/5/2018 15:00,-0.863,0.906
1/5/2018 16:00,-0.707,0.188
1/5/2018 17:00,-0.608,0.9
1/5/2018 18:00,-0.609,-0.221
1/5/2018 19:00,-0.61,0.158
1/5/2018 20:00,-0.613,0.149
1/5/2018 21:00,-0.618,0.149
1/5/2018 22:00,  ,0.153
1/5/2018 23:00,-0.854,0.153
1/6/2018 0:00,  ,0.155
1/6/2018 1:00,-1.017,0.154
1/6/2018 2:00,  ,0.082
1/6/2018 3:00,  ,0.069
1/6/2018 4:00,-1.005,0.067
1/6/2018 5:00,-1.008,0.092
1/6/2018 6:00,-0.991,0.077
1/6/2018 7:00,-0.612,0.147
1/6/2018 8:00,-0.61,0.912
1/6/2018 9:00,  ,0.907
1/6/2018 10:00,  ,0.897
1/6/2018 11:00,-0.808,0.906
1/6/2018 12:00,-0.875,0.898
1/6/2018 13:00,-0.811,0.893
1/6/2018 14:00,-0.847,0.163
1/6/2018 15:00,  ,0.161
1/6/2018 16:00,  ,0.142
1/6/2018 17:00,-0.718,0.128
1/6/2018 18:00,-0.996,0.111
1/6/2018 19:00,-1.059,0.129
1/6/2018 20:00,-0.713,0.14
1/6/2018 21:00,-0.722,
1/6/2018 22:00,-1.041,0.118
1/6/2018 23:00,-1.047,0.118
1/7/2018 0:00,-1.025,0.163
1/7/2018 1:00,-1.006,0.171
1/7/2018 2:00,-1.051,0.167
1/7/2018 3:00,-0.991,0.171
1/7/2018 4:00,-1.031,0.178
1/7/2018 5:00,-0.724,0.194
1/7/2018 6:00,  ,0.195
1/7/2018 7:00,-0.719,0.183
1/7/2018 8:00,  ,0.184
1/7/2018 9:00,-0.847,0.193
1/7/2018 10:00,-0.725,
1/7/2018 11:00,  ,0.183
1/7/2018 12:00,  ,0.895
1/7/2018 13:00,-0.845,0.177
1/7/2018 14:00,-1.038,0.185
1/7/2018 15:00,-0.834,0.177
1/7/2018 16:00,-0.809,0.179
1/7/2018 17:00,-1.005,0.184
1/7/2018 18:00,  ,0.18
1/7/2018 19:00,-0.796,0.18
1/7/2018 20:00,-1.067,0.178
1/7/2018 21:00,-0.792,0.183
1/7/2018 22:00,  ,0.181
1/7/2018 23:00,  ,0.178
1/8/2018 0:00,-1.054,0.171
1/8/2018 1:00,-0.797,0.182
1/8/2018 2:00,-0.795,0.186
1/8/2018 3:00,-0.804,0.168
1/8/2018 4:00,-0.802,0.178
1/8/2018 5:00,-0.803,0.176
1/8/2018 6:00,-0.8,0.174
1/8/2018 7:00,-0.732,0.173
1/8/2018 8:00,-0.802,0.174
1/8/2018 9:00,-0.794,0.185
1/8/2018 10:00,-0.798,0.185
1/8/2018 11:00,-1.139,0.172
1/8/2018 12:00,-0.795,0.172
1/8/2018 13:00,-0.796,0.17
1/8/2018 14:00,-0.792,0.166
1/8/2018 15:00,-0.802,0.175
1/8/2018 16:00,-0.794,0.172
1/8/2018 17:00,-0.8,0.172
1/8/2018 18:00,-0.799,0.172
1/8/2018 19:00,  ,0.176
1/8/2018 20:00,-0.799,0.17
1/8/2018 21:00,-0.801,0.174
1/8/2018 22:00,-0.802,0.17
1/8/2018 23:00,-0.8,0.167
1/9/2018 0:00,-0.798,0.165
1/9/2018 1:00,-0.797,
1/9/2018 2:00,-0.799,0.158
1/9/2018 3:00,-0.798,0.16
1/9/2018 4:00,-0.801,0.162
1/9/2018 5:00,-0.803,0.172
1/9/2018 6:00,-0.804,0.142
1/9/2018 7:00,-0.805,0.176
1/9/2018 8:00,-0.799,0.175
1/9/2018 9:00,-0.783,0.174
1/9/2018 10:00,-0.795,0.176
1/9/2018 11:00,-0.746,0.17
1/9/2018 12:00,-0.809,0.168
1/9/2018 13:00,-0.81,0.165
1/9/2018 14:00,-0.815,0.166
1/9/2018 15:00,-0.811,0.161
1/9/2018 16:00,-0.837,0.157
1/9/2018 17:00,-0.778,0.161
1/9/2018 18:00,-0.81,0.159
1/9/2018 19:00,-0.788,0.157
1/9/2018 20:00,-0.772,0.158
1/9/2018 21:00,-0.79,0.16
1/9/2018 22:00,-1.116,0.156
1/9/2018 23:00,-0.787,0.158
1/10/2018 0:00,-0.788,0.172
1/10/2018 1:00,-0.783,0.173
1/10/2018 2:00,-0.783,0.169
1/10/2018 3:00,-0.788,0.169
1/10/2018 4:00,-0.796,0.168
1/10/2018 5:00,-0.796,0.168
1/10/2018 6:00,-0.8,0.169
1/10/2018 7:00,-0.799,0.163
