Real-time,RTD Average Upper Temperature (C)
2018-02-23 18:59:51,-7.093772
2018-02-23 19:59:48,-7.620082
2018-02-23 20:59:46,-8.487332
2018-02-23 21:59:46,-8.200124
2018-02-23 23:59:50,-8.28151
2018-02-24 00:59:46,-8.374226
2018-02-24 01:59:53,-8.601695
2018-02-24 02:59:47,-8.720355
2018-02-24 03:59:46,-9.254469
2018-02-24 04:59:51,-10.02992
2018-02-24 05:59:50,-9.918806
2018-02-24 06:59:46,-9.228955
2018-02-24 07:59:54,-8.494478
2018-02-24 08:59:46,-7.708225
2018-02-24 09:59:46,-6.526004
2018-02-24 10:59:46,-6.292458
2018-02-24 11:59:46,-6.00982
2018-02-24 12:59:48,-5.770556
2018-02-24 13:59:46,-5.477485
2018-02-24 14:59:46,-5.178675
2018-02-24 15:59:57,-5.1355
2018-02-24 16:59:46,-5.263106
2018-02-24 17:59:46,-5.957742
2018-02-24 18:59:49,-6.319901
2018-02-24 19:59:46,-6.519796
2018-02-24 20:59:45,-6.775246
2018-02-24 21:59:52,-7.787078
2018-02-24 22:59:46,-8.048212
2018-02-24 23:59:46,-7.718614
2018-02-25 00:59:46,-8.277004
2018-02-25 01:59:51,-8.223828
2018-02-25 02:59:49,-8.771533
2018-02-25 03:59:49,-9.078473
2018-02-25 04:59:52,-9.173058
2018-02-25 05:59:46,-9.117826
2018-02-25 06:59:46,-9.266254
2018-02-25 07:59:45,-8.953143
2018-02-25 08:59:49,-8.636331
2018-02-25 09:59:46,-8.186762
2018-02-25 10:59:46,-7.96658
2018-02-25 11:59:46,-7.663845
2018-02-25 12:59:45,-7.423178
2018-02-25 13:59:46,-7.725332
2018-02-25 15:00:04,-7.926215
2018-02-25 15:59:46,-8.484799
2018-02-25 16:59:52,-9.362449
2018-02-25 17:59:46,-10.39758
2018-02-25 18:59:46,-11.64657
2018-02-25 19:59:46,-11.81486
2018-02-25 20:59:49,-12.35263
2018-02-25 21:59:49,-12.79606
2018-02-25 22:59:45,-13.20703
2018-02-25 23:59:48,-13.70689
2018-02-26 00:59:52,-14.1407
2018-02-26 01:59:46,-14.33304
2018-02-26 02:59:52,-13.85755
2018-02-26 03:59:46,-12.76222
2018-02-26 04:59:54,-12.25257
2018-02-26 05:59:47,-12.2405
2018-02-26 06:59:52,-12.02244
2018-02-26 07:59:46,-11.78257
2018-02-26 08:59:46,-11.29343
2018-02-26 09:59:46,-10.9169
2018-02-26 10:59:53,-10.29869
2018-02-26 11:59:45,-9.909516
2018-02-26 12:59:48,-9.240635
2018-02-26 13:59:48,-8.994262
2018-02-26 14:59:48,-8.810685
2018-02-26 15:59:45,-8.892749
2018-02-26 16:59:45,-9.172858
2018-02-26 17:59:47,-9.513767
2018-02-26 18:59:51,-10.03665
2018-02-26 19:59:45,-10.80835
2018-02-26 20:59:46,-12.12463
2018-02-26 23:59:50,-13.78958
2018-02-27 00:59:46,-14.22805
2018-02-27 01:59:46,-14.5537
2018-02-27 02:59:46,-14.73771
2018-02-27 03:59:51,-15.04744
2018-02-27 04:59:46,-14.95206
2018-02-27 05:59:46,-14.54511
2018-02-27 06:59:45,-14.09747
2018-02-27 07:59:52,-13.56291
2018-02-27 08:59:49,-12.85073
2018-02-27 09:59:45,-11.91666
2018-02-27 10:59:52,-11.21063
2018-02-27 11:59:45,-10.54746
2018-02-27 12:59:45,-9.989933
2018-02-27 13:59:46,-10.22771
2018-02-27 14:59:48,-10.6477
2018-02-27 15:59:51,-11.16345
2018-02-27 16:59:45,-11.7013
2018-02-27 17:59:45,-12.55004
2018-02-27 18:59:45,-12.19879
2018-02-27 19:59:45,-12.77005
2018-02-27 20:59:49,-13.0091
2018-02-27 21:59:53,-13.37701
2018-02-27 22:59:45,-13.64721
2018-02-27 23:59:45,-13.70475
2018-02-28 00:59:45,-13.57328
2018-02-28 01:59:52,-13.29232
2018-02-28 02:59:46,-13.67465
2018-02-28 03:59:45,-13.45825
2018-02-28 04:59:45,-13.62804
2018-02-28 05:59:46,-12.77694
2018-02-28 06:59:45,-11.86307
2018-02-28 07:59:53,-10.33676
2018-02-28 08:59:45,-9.428954
2018-02-28 09:59:45,-8.923977
2018-02-28 10:59:45,-8.44323
2018-02-28 11:59:45,-8.268375
2018-02-28 12:59:45,-7.433341
2018-02-28 13:59:45,-8.083752
2018-02-28 14:59:49,-7.903001
2018-02-28 15:59:52,-8.725968
2018-02-28 16:59:48,-8.768475
2018-02-28 17:59:45,-8.327429
2018-02-28 18:59:53,-9.366207
2018-02-28 19:59:52,-10.55011
2018-02-28 20:59:49,-10.09424
2018-02-28 21:59:45,-10.79509
2018-02-28 22:59:45,-10.61911
2018-02-28 23:59:49,-10.92537
